"rt","stimulus","button_pressed","trial_type","trial_index","time_elapsed","internal_node_id","key_press","test_part","next_elem","responses","question_order"
"null","<div style=""font-size:65px;"">A</div>","","html-keyboard-response","28","33603","0.0-6.0-0.0-0.0","null","test","C","",""
"null","<div style=""font-size:65px;"">C</div>","","html-keyboard-response","29","34710","0.0-6.0-0.0-0.1","null","test","C","",""
"null","<div style=""font-size:65px;"">C</div>","","html-keyboard-response","30","35818","0.0-6.0-0.0-0.2","null","test","B","",""
"343.9950000029057","<div style=""font-size:65px;"">B</div>","","html-keyboard-response","31","36465","0.0-6.0-0.0-0.3","32","test","A","",""
"null","","","html-keyboard-response","32","36768","0.0-6.0-0.0-0.4","null","test","C","",""
"1136.014999996405","","","survey-likert","33","37905","0.0-6.0-1.0","","","","{""Q0"":5}","[0]"
"1293.7600000295788","","","survey-multi-choice","34","39200","0.0-6.0-2.0","","","","{""Q0"":""A, B, and C, are all equally likely""}","[0]"
"773.4100000234321","Correct! + $1","0","html-button-response","35","39975","0.0-6.0-3.0","","","","",""
"null","<div style=""font-size:65px;"">C</div>","","html-keyboard-response","36","40779","0.0-7.0-0.0-0.0","null","test","B","",""
"null","<div style=""font-size:65px;"">B</div>","","html-keyboard-response","37","41886","0.0-7.0-0.0-0.1","null","test","A","",""
"null","<div style=""font-size:65px;"">A</div>","","html-keyboard-response","38","42988","0.0-7.0-0.0-0.2","null","test","A","",""
"453.07500002672896","<div style=""font-size:65px;"">A</div>","","html-keyboard-response","39","43745","0.0-7.0-0.0-0.3","32","test","B","",""
"null","","","html-keyboard-response","40","44047","0.0-7.0-0.0-0.4","null","test","C","",""
"1883.3549999981187","","","survey-likert","41","45932","0.0-7.0-1.0","","","","{""Q0"":5}","[0]"
"1796.9400000292808","","","survey-multi-choice","42","47731","0.0-7.0-2.0","","","","{""Q0"":""A""}","[0]"
"666.945000004489","Incorrect! + $0<p> The correct choice was: B","0","html-button-response","43","48399","0.0-7.0-3.0","","","","",""
"null","<div style=""font-size:65px;"">B</div>","","html-keyboard-response","44","49203","0.0-8.0-0.0-0.0","null","test","B","",""
"null","<div style=""font-size:65px;"">B</div>","","html-keyboard-response","45","50307","0.0-8.0-0.0-0.1","null","test","C","",""
"null","<div style=""font-size:65px;"">C</div>","","html-keyboard-response","46","51414","0.0-8.0-0.0-0.2","null","test","C","",""
"null","<div style=""font-size:65px;"">C</div>","","html-keyboard-response","47","52523","0.0-8.0-0.0-0.3","null","test","A","",""
"null","<div style=""font-size:65px;"">A</div>","","html-keyboard-response","48","53629","0.0-8.0-0.0-0.4","null","test","C","",""
"null","<div style=""font-size:65px;"">C</div>","","html-keyboard-response","49","54738","0.0-8.0-0.0-0.5","null","test","A","",""
"null","<div style=""font-size:65px;"">A</div>","","html-keyboard-response","50","55848","0.0-8.0-0.0-0.6","null","test","B","",""
"null","<div style=""font-size:65px;"">B</div>","","html-keyboard-response","51","56959","0.0-8.0-0.0-0.7","null","test","A","",""
"null","<div style=""font-size:65px;"">A</div>","","html-keyboard-response","52","58066","0.0-8.0-0.0-0.8","null","test","B","",""
"null","<div style=""font-size:65px;"">B</div>","","html-keyboard-response","53","59175","0.0-8.0-0.0-0.9","null","test","B","",""
"null","<div style=""font-size:65px;"">B</div>","","html-keyboard-response","54","60281","0.0-8.0-0.0-0.10","null","test","B","",""
"","","","html-keyboard-response","55","60587","0.0-8.0-0.0-0.11","","test","C","",""
