disengaged,diffs,binMeans,err,eventpos
0,-0.189125562515481,-0.171406006880182,0.0203535124523678,3
0,-0.133321424522401,-0.131216410137731,0.0171693126942453,4
0,-0.0988557331308765,-0.0956141965288251,0.0207564439132333,5
0,-0.0705759632924814,-0.063829189555462,0.0193251968576905,6
1,-0.0557790529423604,-0.063829189555462,0.0193251968576905,7
0,-0.342059853000366,-0.335515442673583,0.015506270471189,1
0,-0.209208594879299,-0.241269361295485,0.0163844055190466,2
0,-0.118838478463773,-0.131216410137731,0.0171693126942453,3
1,-0.0824820240270706,-0.063829189555462,0.0193251968576905,4
0,-0.153686451244882,-0.131216410137731,0.0171693126942453,1
0,-0.377617725271678,-0.335515442673583,0.015506270471189,2
0,-0.189125562515481,-0.171406006880182,0.0203535124523678,3
0,-0.133321424522401,-0.131216410137731,0.0171693126942453,4
0,-0.0988557331308765,-0.0956141965288251,0.0207564439132333,5
0,-0.0705759632924814,-0.063829189555462,0.0193251968576905,6
