disengaged,diffs,binMeans,eventpos
0,0.0618355767164506,0.0769679398490755,7
0,0.0459725244303754,0.0432961648248384,8
0,0.0451355583226783,0.0432961648248384,9
0,0.0343649504968653,0.0432961648248384,10
0,0.0229060886895676,0.0148497102983566,11
0,0.0281587348950096,0.0148497102983566,12
0,0.02517053422224,0.0148497102983566,13
0,0.0151258627243619,0.0148497102983566,14
0,0.0129640837824595,0.0148497102983566,15
0,0.0219420306597344,0.0148497102983566,16
0,0.0198621864747238,0.0148497102983566,17
0,0.00491912221042928,0.0148497102983566,18
0,0.00184181580152137,0.0148497102983566,19
1,0.0254514989352218,0.0148497102983566,20
0,0.325981940743534,0.237045392533156,1
0,0.195136358077263,0.237045392533156,2
0,0.112965302296925,0.122555615542665,3
0,0.0782338928184064,0.0769679398490755,4
0,0.155165461177098,0.237045392533156,5
0,0.0649053354002591,0.0769679398490755,6
0,0.0512328788579438,0.0432961648248384,7
0,0.0342425946759473,0.0432961648248384,8
0,0.0409955648249746,0.0432961648248384,9
1,0.0282918887358591,0.0148497102983566,10
0,0.229775940951582,0.237045392533156,1
0,0.237388686651509,0.237045392533156,2
0,0.0263179537250416,0.0148497102983566,3
0,0.122422087010218,0.122555615542665,4
0,0.110648260676442,0.122555615542665,5
0,0.0878952470541475,0.0769679398490755,6
0,0.0696640195623599,0.0769679398490755,7
0,0.0546332526614824,0.0432961648248384,8
0,0.0813227601156316,0.0769679398490755,9
0,0.0190257355555592,0.0148497102983566,10
0,0.0140310277423608,0.0148497102983566,11
0,0.000328756109147857,0.0148497102983566,12
0,0.0547044290316127,0.0432961648248384,13
0,0.0438263393017187,0.0432961648248384,14
0,0.0377168051908578,0.0432961648248384,15
0,0.0472097431069003,0.0432961648248384,16
0,0.0330226598446559,0.0432961648248384,17
0,0.0396985220766228,0.0432961648248384,18
1,0.0236947826559498,0.0148497102983566,19
0,0.264921074986773,0.237045392533156,1
0,0.204879136116933,0.237045392533156,2
0,0.026111239444872,0.0148497102983566,3
0,0.120618618001272,0.122555615542665,4
0,0.0181898146716568,0.0148497102983566,5
0,0.101120423453649,0.122555615542665,6
0,0.0768357347316606,0.0769679398490755,7
0,0.0867538404014456,0.0769679398490755,8
0,0.0595290275490645,0.0769679398490755,9
0,0.0634788899056955,0.0769679398490755,10
0,0.0595951850005549,0.0769679398490755,11
0,0.0552338262052358,0.0432961648248384,12
0,0.0317942698039669,0.0432961648248384,13
0,0.0435580506013681,0.0432961648248384,14
0,0.0448364303534547,0.0432961648248384,15
0,0.0103586553550179,0.0148497102983566,16
0,0.0420862453220445,0.0432961648248384,17
0,4.05838826354754e-05,0.0148497102983566,18
0,0.0412682886471549,0.0432961648248384,19
1,0.0399601802493363,0.0432961648248384,20
0,0.0414025391960974,0.0432961648248384,1
0,0.279340923273452,0.237045392533156,2
0,0.148108844322778,0.237045392533156,3
0,0.103653593066072,0.122555615542665,4
0,0.068967007748071,0.0769679398490755,5
0,0.0551406001458728,0.0432961648248384,6
1,0.0434044360120344,0.0432961648248384,7
0,0.325981940743534,0.237045392533156,1
0,0.195136358077263,0.237045392533156,2
0,0.112965302296925,0.122555615542665,3
0,0.0782338928184064,0.0769679398490755,4
0,0.0433580433337336,0.0432961648248384,5
1,0.0419154237463708,0.0432961648248384,6
0,0.229775940951582,0.237045392533156,1
0,0.110931792881073,0.122555615542665,2
0,0.20940713893223,0.237045392533156,3
0,0.042809207315176,0.0432961648248384,4
0,0.0035543689869493,0.0148497102983566,5
0,0.0482487569838116,0.0432961648248384,6
0,0.0618355767164506,0.0769679398490755,7
0,0.0907392697366171,0.0769679398490755,8
0,0.0523322929358714,0.0432961648248384,9
0,0.0740359629561083,0.0769679398490755,10
0,0.0313007460181099,0.0432961648248384,11
0,0.0407047215140089,0.0432961648248384,12
0,0.0364711903029886,0.0432961648248384,13
0,0.0579082888900463,0.0769679398490755,14
0,0.014870141340627,0.0148497102983566,15
0,0.00210932109969294,0.0148497102983566,16
0,0.0307867480201223,0.0432961648248384,17
0,0.0273330248198644,0.0148497102983566,18
0,0.0430487477449293,0.0432961648248384,19
0,0.0256392716012961,0.0148497102983566,20
1,0.0392908828306424,0.0432961648248384,21
0,0.264921074986773,0.237045392533156,1
0,0.257308329286846,0.237045392533156,2
0,0.148315558602948,0.237045392533156,3
0,0.104608097810396,0.122555615542665,4
0,0.113484208248728,0.122555615542665,5
0,0.0709817673863489,0.0769679398490755,6
0,0.0365293516553488,0.0432961648248384,7
0,0.0406040007892153,0.0432961648248384,8
0,0.0194565656614481,0.0148497102983566,9
0,0.0618898394340962,0.0769679398490755,10
0,0.0321689655211859,0.0432961648248384,11
0,0.00990205244476508,0.0148497102983566,12
0,0.0317942698039669,0.0432961648248384,13
0,0.0435580506013681,0.0432961648248384,14
0,0.00249378063642777,0.0148497102983566,15
0,0.0369715556348646,0.0432961648248384,16
0,0.00937309834236602,0.0148497102983566,17
0,0.00852696101913877,0.0148497102983566,18
0,0.0378715782530329,0.0432961648248384,19
0,0.0399811525206319,0.0432961648248384,20
0,0.00640143523972134,0.0148497102983566,21
0,0.0304090667146009,0.0432961648248384,22
0,0.00669570300105801,0.0148497102983566,23
1,0.027630364221454,0.0148497102983566,24
0,0.229775940951582,0.237045392533156,1
0,0.110931792881073,0.122555615542665,2
1,0.0778217602710705,0.0769679398490755,3
0,0.229775940951582,0.237045392533156,1
0,0.110931792881073,0.122555615542665,2
0,0.0778217602710705,0.0769679398490755,3
0,0.0528141925707409,0.0432961648248384,4
1,0.0177490789193963,0.0148497102983566,5
0,0.115864326352617,0.122555615542665,1
0,0.0910121502457354,0.0769679398490755,2
0,0.0347736266042402,0.0432961648248384,3
0,0.063381170268268,0.0769679398490755,4
0,0.121418925605418,0.122555615542665,5
0,0.101120423453649,0.122555615542665,6
0,0.0768357347316606,0.0769679398490755,7
0,0.0867538404014455,0.0769679398490755,8
0,0.0699860320047348,0.0769679398490755,9
0,0.00239560074414022,0.0148497102983566,10
0,0.00523392744762563,0.0148497102983566,11
0,0.00951871524774919,0.0148497102983566,12
0,0.0464266768886132,0.0432961648248384,13
0,0.0418133590122197,0.0432961648248384,14
0,0.0338799654384122,0.0432961648248384,15
1,0.0395964425561706,0.0432961648248384,16
0,0.229775940951582,0.237045392533156,1
0,0.110931792881073,0.122555615542665,2
0,0.0778217602710705,0.0769679398490755,3
1,0.0528141925707409,0.0432961648248384,4
0,0.229775940951582,0.237045392533156,1
0,0.110931792881073,0.122555615542665,2
1,0.0778217602710705,0.0769679398490755,3
0,0.115864326352617,0.122555615542665,1
0,0.204879136116933,0.237045392533156,2
0,0.148108844322778,0.237045392533156,3
0,0.103653593066072,0.122555615542665,4
0,0.068967007748071,0.0769679398490755,5
0,0.0551406001458728,0.0432961648248384,6
1,0.0434044360120344,0.0432961648248384,7
0,0.0414025391960974,0.0432961648248384,1
0,0.279340923273452,0.237045392533156,2
0,0.148108844322778,0.237045392533156,3
0,0.103653593066072,0.122555615542665,4
0,0.068967007748071,0.0769679398490755,5
0,0.0551406001458728,0.0432961648248384,6
1,0.0434044360120344,0.0432961648248384,7
0,0.229775940951582,0.237045392533156,1
0,0.110931792881073,0.122555615542665,2
0,0.20940713893223,0.237045392533156,3
0,0.042809207315176,0.0432961648248384,4
0,0.0263273858290002,0.0148497102983566,5
0,0.00357437220670616,0.0148497102983566,6
0,0.0696640195623599,0.0769679398490755,7
0,0.0546332526614824,0.0432961648248384,8
0,0.0813227601156316,0.0769679398490755,9
0,0.0494060348366849,0.0432961648248384,10
1,0.0403302298105684,0.0432961648248384,11
0,0.264921074986773,0.237045392533156,1
0,0.0569334929355989,0.0769679398490755,2
0,0.0520592777482995,0.0432961648248384,3
0,0.141190580954363,0.122555615542665,4
0,0.0917400245901218,0.0769679398490755,5
0,0.0976599823085336,0.122555615542665,6
0,0.0774924624082693,0.0769679398490755,7
0,0.073417813274403,0.0769679398490755,8
0,0.0160590569864,0.0148497102983566,9
1,0.00846866250514636,0.0148497102983566,10
0,0.229775940951582,0.237045392533156,1
0,0.110931792881073,0.122555615542665,2
0,0.0778217602710705,0.0769679398490755,3
0,0.0528141925707409,0.0432961648248384,4
1,0.0177490789193963,0.0148497102983566,5
0,0.325981940743534,0.237045392533156,1
0,0.00523847827398491,0.0148497102983566,2
0,0.148108844322778,0.237045392533156,3
0,0.139387111945417,0.122555615542665,4
0,0.113484208248728,0.122555615542665,5
0,0.0781305117997611,0.0769679398490755,6
0,0.0952668754360768,0.0769679398490755,7
0,0.0663631824159104,0.0769679398490755,8
0,0.0771827666179279,0.0769679398490755,9
0,0.0554790965976909,0.0432961648248384,10
0,0.0473654862302259,0.0432961648248384,11
0,0.0398265982114156,0.0432961648248384,12
0,0.0599592772368631,0.0769679398490755,13
0,0.0142388034138014,0.0148497102983566,14
0,0.0122417735698257,0.0148497102983566,15
1,0.000994426608355477,0.0148497102983566,16
0,0.229775940951582,0.237045392533156,1
0,0.110931792881073,0.122555615542665,2
0,0.20940713893223,0.237045392533156,3
0,0.042809207315176,0.0432961648248384,4
0,0.0878752438343906,0.0769679398490755,5
0,0.0649053354002591,0.0769679398490755,6
0,0.0512328788579438,0.0432961648248384,7
0,0.0342425946759473,0.0432961648248384,8
0,0.0409955648249747,0.0432961648248384,9
0,0.0906660977675274,0.0769679398490755,10
0,0.0281005310402394,0.0148497102983566,11
0,0.0306366390728144,0.0432961648248384,12
0,0.0682370293798626,0.0769679398490755,13
0,0.0255414815413991,0.0148497102983566,14
0,0.00960555289662408,0.0148497102983566,15
0,0.028306698993684,0.0148497102983566,16
0,0.050774895042909,0.0432961648248384,17
0,0.023413621522297,0.0148497102983566,18
0,0.018380084102107,0.0148497102983566,19
0,0.0255763547874092,0.0148497102983566,20
0,0.0200578004766025,0.0148497102983566,21
0,0.0171178103177659,0.0148497102983566,22
0,0.0173283448451377,0.0148497102983566,23
0,0.0128077422567355,0.0148497102983566,24
1,0.0133283219016573,0.0148497102983566,25
0,0.325981940743534,0.237045392533156,1
0,0.00523847827398491,0.0148497102983566,2
0,0.0261112394448718,0.0148497102983566,3
0,0.120618618001271,0.122555615542665,4
0,0.132392444335047,0.122555615542665,5
0,0.0878952470541475,0.0769679398490755,6
0,0.0874384325901677,0.0769679398490755,7
0,0.0750239106470176,0.0769679398490755,8
0,0.0741260255024385,0.0769679398490755,9
0,0.0420575536059961,0.0432961648248384,10
0,0.0523275450831742,0.0432961648248384,11
0,0.00616268776735088,0.0148497102983566,12
0,0.00882765551119774,0.0148497102983566,13
0,0.0405104904402874,0.0432961648248384,14
0,0.000134587134373448,0.0148497102983566,15
0,0.0380864501262019,0.0432961648248384,16
0,0.00825514243009914,0.0148497102983566,17
0,0.0303788550305853,0.0432961648248384,18
0,0.00597341710541074,0.0148497102983566,19
1,0.0257541302056287,0.0148497102983566,20
0,0.325981940743534,0.237045392533156,1
0,0.00523847827398491,0.0148497102983566,2
0,0.148108844322778,0.237045392533156,3
0,0.139387111945417,0.122555615542665,4
0,0.113484208248728,0.122555615542665,5
0,0.0781305117997611,0.0769679398490755,6
0,0.0952668754360768,0.0769679398490755,7
0,0.0663631824159104,0.0769679398490755,8
0,0.0771827666179279,0.0769679398490755,9
0,0.0554790965976909,0.0432961648248384,10
0,0.0473654862302259,0.0432961648248384,11
1,0.0398265982114156,0.0432961648248384,12
0,0.229775940951582,0.237045392533156,1
0,0.110931792881073,0.122555615542665,2
0,0.0778217602710705,0.0769679398490755,3
0,0.0528141925707409,0.0432961648248384,4
0,0.0177490789193963,0.0148497102983566,5
0,0.0286902473468689,0.0148497102983566,6
1,0.0221990402950206,0.0148497102983566,7
0,0.115864326352617,0.122555615542665,1
0,0.204879136116933,0.237045392533156,2
0,0.148108844322778,0.237045392533156,3
0,0.103653593066072,0.122555615542665,4
0,0.068967007748071,0.0769679398490755,5
0,0.0551406001458728,0.0432961648248384,6
0,0.0434044360120344,0.0432961648248384,7
1,0.0255818664448402,0.0148497102983566,8
0,0.264921074986773,0.237045392533156,1
0,0.0569334929355989,0.0769679398490755,2
0,0.0520592777482995,0.0432961648248384,3
0,0.141190580954363,0.122555615542665,4
0,0.0917400245901218,0.0769679398490755,5
0,0.0976599823085336,0.122555615542665,6
1,0.0774924624082693,0.0769679398490755,7
0,0.229775940951582,0.237045392533156,1
1,0.237388686651509,0.237045392533156,2
0,0.264921074986773,0.237045392533156,1
0,0.204879136116933,0.237045392533156,2
0,0.026111239444872,0.0148497102983566,3
0,0.120618618001272,0.122555615542665,4
0,0.0181898146716568,0.0148497102983566,5
1,0.101120423453649,0.122555615542665,6
0,0.0414025391960974,0.0432961648248384,1
0,0.131395280092118,0.122555615542665,2
0,0.113172016577094,0.122555615542665,3
0,0.130027798058062,0.122555615542665,4
0,0.054772297815624,0.0432961648248384,5
0,0.00014297018976045,0.0148497102983566,6
1,0.0908694152793738,0.0769679398490755,7
0,0.115864326352617,0.122555615542665,1
0,0.204879136116933,0.237045392533156,2
0,0.139120054880522,0.122555615542665,3
0,0.147841787257883,0.122555615542665,4
0,0.113484208248728,0.122555615542665,5
0,0.0781305117997611,0.0769679398490755,6
0,0.0952668754360768,0.0769679398490755,7
0,0.0122816432350435,0.0148497102983566,8
0,0.0564722864335751,0.0432961648248384,9
0,0.0679629011951022,0.0769679398490755,10
1,0.00699577132270338,0.0148497102983566,11
0,0.229775940951582,0.237045392533156,1
0,0.110931792881073,0.122555615542665,2
0,0.0778217602710705,0.0769679398490755,3
0,0.0528141925707409,0.0432961648248384,4
0,0.0177490789193963,0.0148497102983566,5
0,0.0286902473468689,0.0148497102983566,6
1,0.0221990402950206,0.0148497102983566,7
0,0.264921074986773,0.237045392533156,1
0,0.204879136116933,0.237045392533156,2
0,0.148108844322778,0.237045392533156,3
0,0.103653593066072,0.122555615542665,4
0,0.068967007748071,0.0769679398490755,5
1,0.120392992711071,0.122555615542665,6
0,0.325981940743534,0.237045392533156,1
0,0.195136358077263,0.237045392533156,2
0,0.112965302296925,0.122555615542665,3
0,0.0782338928184064,0.0769679398490755,4
0,0.155165461177098,0.237045392533156,5
0,0.0649053354002591,0.0769679398490755,6
1,0.0512328788579438,0.0432961648248384,7
0,0.229775940951582,0.237045392533156,1
0,0.110931792881073,0.122555615542665,2
1,0.0778217602710705,0.0769679398490755,3
0,0.229775940951582,0.237045392533156,1
0,0.110931792881073,0.122555615542665,2
0,0.0778217602710705,0.0769679398490755,3
0,0.0528141925707409,0.0432961648248384,4
1,0.0177490789193963,0.0148497102983566,5
0,0.325981940743534,0.237045392533156,1
0,0.00523847827398491,0.0148497102983566,2
0,0.0261112394448718,0.0148497102983566,3
0,0.120618618001271,0.122555615542665,4
0,0.132392444335047,0.122555615542665,5
0,0.0878952470541475,0.0769679398490755,6
1,0.0874384325901677,0.0769679398490755,7
0,0.229775940951582,0.237045392533156,1
0,0.237388686651509,0.237045392533156,2
0,0.138913340600352,0.122555615542665,3
0,0.0970023867625522,0.122555615542665,4
1,0.0622662794200532,0.0769679398490755,5
0,0.325981940743534,0.237045392533156,1
0,0.195136358077263,0.237045392533156,2
1,0.112965302296925,0.122555615542665,3
0,0.229775940951582,0.237045392533156,1
0,0.110931792881073,0.122555615542665,2
1,0.0778217602710705,0.0769679398490755,3
0,0.325981940743534,0.237045392533156,1
0,0.195136358077263,0.237045392533156,2
0,0.112965302296925,0.122555615542665,3
0,0.0782338928184064,0.0769679398490755,4
1,0.0433580433337336,0.0432961648248384,5
0,0.115864326352617,0.122555615542665,1
0,0.0910121502457354,0.0769679398490755,2
0,0.0347736266042402,0.0432961648248384,3
0,0.063381170268268,0.0769679398490755,4
0,0.121418925605418,0.122555615542665,5
0,0.101120423453649,0.122555615542665,6
1,0.0768357347316606,0.0769679398490755,7
1,0.229775940951582,0.237045392533156,1
0,0.229775940951582,0.237045392533156,1
0,0.110931792881073,0.122555615542665,2
0,0.0778217602710705,0.0769679398490755,3
0,0.0528141925707409,0.0432961648248384,4
0,0.0177490789193963,0.0148497102983566,5
0,0.0286902473468689,0.0148497102983566,6
1,0.0221990402950206,0.0148497102983566,7
0,0.264921074986773,0.237045392533156,1
0,0.257308329286846,0.237045392533156,2
1,0.148315558602948,0.237045392533156,3
0,0.0414025391960974,0.0432961648248384,1
0,0.279340923273452,0.237045392533156,2
0,0.148108844322778,0.237045392533156,3
1,0.103653593066072,0.122555615542665,4
0,0.325981940743534,0.237045392533156,1
1,0.00523847827398491,0.0148497102983566,2
0,0.115864326352617,0.122555615542665,1
1,0.257308329286846,0.237045392533156,2
0,0.229775940951582,0.237045392533156,1
0,0.110931792881073,0.122555615542665,2
0,0.0778217602710705,0.0769679398490755,3
1,0.0528141925707409,0.0432961648248384,4
0,0.229775940951582,0.237045392533156,1
0,0.110931792881073,0.122555615542665,2
0,0.0778217602710705,0.0769679398490755,3
0,0.190226512440748,0.237045392533156,4
0,0.0519363502433376,0.0432961648248384,5
0,0.0360721178636297,0.0432961648248384,6
0,0.00489212003069499,0.0148497102983566,7
0,0.08207854150551,0.0769679398490755,8
0,0.0358944292986598,0.0432961648248384,9
0,0.0509950853082842,0.0432961648248384,10
0,0.0645572438535032,0.0769679398490755,11
0,0.0148578608003748,0.0148497102983566,12
0,0.041726038508239,0.0432961648248384,13
0,0.0377312189795576,0.0432961648248384,14
0,0.0498161387239098,0.0432961648248384,15
0,0.012983542276324,0.0148497102983566,16
0,0.0120051930163525,0.0148497102983566,17
0,0.00312669727066872,0.0148497102983566,18
0,0.0337473847763697,0.0432961648248384,19
0,0.0158108714260285,0.0148497102983566,20
0,0.0352836793328666,0.0432961648248384,21
0,0.00349928686108583,0.0148497102983566,22
0,0.0155220740712073,0.0148497102983566,23
1,0.0133058720213156,0.0148497102983566,24
0,0.264921074986773,0.237045392533156,1
0,0.204879136116933,0.237045392533156,2
0,0.026111239444872,0.0148497102983566,3
0,0.120618618001272,0.122555615542665,4
0,0.0181898146716568,0.0148497102983566,5
0,0.101120423453649,0.122555615542665,6
0,0.0768357347316606,0.0769679398490755,7
0,0.0867538404014456,0.0769679398490755,8
0,0.0595290275490645,0.0769679398490755,9
0,0.0634788899056955,0.0769679398490755,10
0,0.0595951850005549,0.0769679398490755,11
0,0.0552338262052358,0.0432961648248384,12
0,0.0317942698039669,0.0432961648248384,13
0,0.0435580506013681,0.0432961648248384,14
0,0.0448364303534547,0.0432961648248384,15
1,0.0103586553550179,0.0148497102983566,16
0,0.229775940951582,0.237045392533156,1
0,0.110931792881073,0.122555615542665,2
0,0.20940713893223,0.237045392533156,3
0,0.042809207315176,0.0432961648248384,4
0,0.0878752438343906,0.0769679398490755,5
0,0.0649053354002591,0.0769679398490755,6
1,0.0512328788579438,0.0432961648248384,7
0,0.264921074986773,0.237045392533156,1
0,0.257308329286846,0.237045392533156,2
0,0.148315558602948,0.237045392533156,3
0,0.104608097810396,0.122555615542665,4
0,0.113484208248728,0.122555615542665,5
0,0.0709817673863489,0.0769679398490755,6
0,0.0365293516553488,0.0432961648248384,7
