"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","test_part","responses","question_order"
"1731","","","survey-likert","77","142386","0.0-2.0-1.37","","{""Q0"":0}","[0]"
"408.0000000000291","<div style=""font-size:45px;"">B  A  B  A                                                </div>","32","html-keyboard-response","78","142797","0.0-2.0-0.38","test","",""
"1765","","","survey-likert","79","145064","0.0-2.0-1.38","","{""Q0"":4}","[0]"
"993.0000000000291","<div style=""font-size:45px;"">C  B  B  C  B  B  B  B  B  B  B  B  B  B  B  C            </div>","32","html-keyboard-response","80","146059","0.0-2.0-0.39","test","",""
"1547","","","survey-likert","81","148109","0.0-2.0-1.39","","{""Q0"":1}","[0]"
"1983","<div style=""font-size:45px;"">B  C  C  B  C  C  B  C  C  B  C  C                        </div>","32","html-keyboard-response","82","150094","0.0-2.0-0.40","test","",""
"1999.000000000029","","","survey-likert","83","152595","0.0-2.0-1.40","","{""Q0"":2}","[0]"
"1269","<div style=""font-size:45px;"">B  A  C  B  C  B  A  B                                    </div>","32","html-keyboard-response","84","153866","0.0-2.0-0.41","test","",""
"1936","","","survey-likert","85","156305","0.0-2.0-1.41","","{""Q0"":7}","[0]"
"815","<div style=""font-size:45px;"">A  A  A  B  C  C  C  C  C  A  C  C  B  A  C  B  C  C      </div>","32","html-keyboard-response","86","157122","0.0-2.0-0.42","test","",""
"2012","","","survey-likert","87","159636","0.0-2.0-1.42","","{""Q0"":2}","[0]"
"2316","<div style=""font-size:45px;"">B  C  B  B  C  B  C  B  C  C  C  C  C  C                  </div>","32","html-keyboard-response","88","161954","0.0-2.0-0.43","test","",""
"1527","","","survey-likert","89","163984","0.0-2.0-1.43","","{""Q0"":4}","[0]"
"2259.000000000029","<div style=""font-size:45px;"">C  C  A  B  A  A  A  A  C  B  B  B  B  B  B  B  B  A      </div>","32","html-keyboard-response","90","166245","0.0-2.0-0.44","test","",""
"2141","","","survey-likert","91","168887","0.0-2.0-1.44","","{""Q0"":6}","[0]"
"1220","<div style=""font-size:45px;"">C  C  C  C  C  B  C  A  A  A  B  B  A  B  C  B  A  A  B  B</div>","32","html-keyboard-response","92","170110","0.0-2.0-0.45","test","",""
"3436.000000000029","","","survey-likert","93","174047","0.0-2.0-1.45","","{""Q0"":2}","[0]"
"429","<div style=""font-size:45px;"">A  C  B  A  B  C                                          </div>","32","html-keyboard-response","94","174477","0.0-2.0-0.46","test","",""
"1367","","","survey-likert","95","176347","0.0-2.0-1.46","","{""Q0"":4}","[0]"
"662","<div style=""font-size:45px;"">A  B  A  B  A  B                                          </div>","32","html-keyboard-response","96","177010","0.0-2.0-0.47","test","",""
"5057","","","survey-likert","97","182570","0.0-2.0-1.47","","{""Q0"":3}","[0]"
"2357","<div style=""font-size:45px;"">C  B  C  C  B  C  C  B  C  C  B  C  C  B  C  C  B  C      </div>","32","html-keyboard-response","98","184929","0.0-2.0-0.48","test","",""
"1978","","","survey-likert","99","187408","0.0-2.0-1.48","","{""Q0"":0}","[0]"
"1544","<div style=""font-size:45px;"">C  B  C  A  C  A  B  C  B  C                              </div>","32","html-keyboard-response","100","188954","0.0-2.0-0.49","test","",""
"2113","","","survey-likert","101","191570","0.0-2.0-1.49","","{""Q0"":8}","[0]"
"440","<div style=""font-size:45px;"">A  B  B  A  B  A                                          </div>","32","html-keyboard-response","102","192016","0.0-2.0-0.50","test","",""
"1342","","","survey-likert","103","193860","0.0-2.0-1.50","","{""Q0"":3}","[0]"
"979","<div style=""font-size:45px;"">C  A  C  A  C  A  C  A  C  A  C  A  C  A  C  A  C  A  C  A</div>","32","html-keyboard-response","104","194841","0.0-2.0-0.51","test","",""
"1799","","","survey-likert","105","197142","0.0-2.0-1.51","","{""Q0"":0}","[0]"
"1505","<div style=""font-size:45px;"">C  B  A  C  B  C  C  B  C  B  C  B  C  B  C  C  A  C  B  A</div>","32","html-keyboard-response","106","198650","0.0-2.0-0.52","test","",""
"2674","","","survey-likert","107","201826","0.0-2.0-1.52","","{""Q0"":4}","[0]"
"1538","<div style=""font-size:45px;"">B  C  A  A  C  A  B  A                                    </div>","32","html-keyboard-response","108","203366","0.0-2.0-0.53","test","",""
"2247","","","survey-likert","109","206116","0.0-2.0-1.53","","{""Q0"":5}","[0]"
"818.0000000000291","<div style=""font-size:45px;"">A  C  C  C  C  B  A  A  A  A  A  A                        </div>","32","html-keyboard-response","110","206936","0.0-2.0-0.54","test","",""
"1306","","","survey-likert","111","208744","0.0-2.0-1.54","","{""Q0"":3}","[0]"
"1314.000000000029","<div style=""font-size:45px;"">A  C  A  B  C  C  C  A  B  C                              </div>","32","html-keyboard-response","112","210060","0.0-2.0-0.55","test","",""
"1137","","","survey-likert","113","211700","0.0-2.0-1.55","","{""Q0"":4}","[0]"
"1657.000000000029","<div style=""font-size:45px;"">C  A  C  C  A  B  B  B  B  B                              </div>","32","html-keyboard-response","114","213359","0.0-2.0-0.56","test","",""
"1801","","","survey-likert","115","215662","0.0-2.0-1.56","","{""Q0"":5}","[0]"
"1137","<div style=""font-size:45px;"">C  C  A  B  A  B  C  C  A  B  A  C  A  B  B  B            </div>","32","html-keyboard-response","116","216801","0.0-2.0-0.57","test","",""
"1676","","","survey-likert","117","218979","0.0-2.0-1.57","","{""Q0"":7}","[0]"
"1772","<div style=""font-size:45px;"">B  A  B  B  A  C  C  A  B  C  B  B  C  A  C  C  A  B  A  B</div>","32","html-keyboard-response","118","220753","0.0-2.0-0.58","test","",""
"1981","","","survey-likert","119","223236","0.0-2.0-1.58","","{""Q0"":9}","[0]"
"757","<div style=""font-size:45px;"">A  B  B  B  B  B  B  B                                    </div>","32","html-keyboard-response","120","223995","0.0-2.0-0.59","test","",""
"2316.999999999971","","","survey-likert","121","226813","0.0-2.0-1.59","","{""Q0"":1}","[0]"
"1473","<div style=""font-size:45px;"">A  B  C  A  A  B  C  C  C  C                              </div>","32","html-keyboard-response","122","228288","0.0-2.0-0.60","test","",""
"2190","","","survey-likert","123","230981","0.0-2.0-1.60","","{""Q0"":3}","[0]"
"1628","<div style=""font-size:45px;"">C  A  A  C  A  A  A  B  A  C                              </div>","32","html-keyboard-response","124","232611","0.0-2.0-0.61","test","",""
"955.0000000000291","","","survey-likert","125","234068","0.0-2.0-1.61","","{""Q0"":4}","[0]"
"556","<div style=""font-size:45px;"">B  B  B  C  C  A  B  B  A  A  C  C                        </div>","32","html-keyboard-response","126","234626","0.0-2.0-0.62","test","",""
"2123.999999999971","","","survey-likert","127","237252","0.0-2.0-1.62","","{""Q0"":6}","[0]"
"962","<div style=""font-size:45px;"">C  B  B  B  A  A  A  A  A  A  A  A                        </div>","32","html-keyboard-response","128","238216","0.0-2.0-0.63","test","",""
"1850.000000000029","","","survey-likert","129","240568","0.0-2.0-1.63","","{""Q0"":2}","[0]"
"2304","<div style=""font-size:45px;"">C  C  B  B  B  B  C  C  B  C  C  A                        </div>","32","html-keyboard-response","130","242874","0.0-2.0-0.64","test","",""
"1713","","","survey-likert","131","245088","0.0-2.0-1.64","","{""Q0"":4}","[0]"
"694","<div style=""font-size:45px;"">C  C  C  B  C  C  C  C  C  C  C  C  C  C                  </div>","32","html-keyboard-response","132","245784","0.0-2.0-0.65","test","",""
"1265","","","survey-likert","133","247552","0.0-2.0-1.65","","{""Q0"":1}","[0]"
"4112","<div style=""font-size:45px;"">C  C  C  A  C  B  A  C  C  A  A  B  B  C  A  B  C  C      </div>","32","html-keyboard-response","134","251666","0.0-2.0-0.66","test","",""
"3818.000000000029","","","survey-likert","135","255986","0.0-2.0-1.66","","{""Q0"":9}","[0]"
"1345.9999999999418","<div style=""font-size:45px;"">A  A  A  A  B  B  B  B  B  B  B  C  C  C  A  A  A  A  A  A</div>","32","html-keyboard-response","136","257335","0.0-2.0-0.67","test","",""
"2937","","","survey-likert","137","260774","0.0-2.0-1.67","","{""Q0"":1}","[0]"
"589","<div style=""font-size:45px;"">C  C  C  C  C  C  C  C  C  C  C  C  C  C                  </div>","32","html-keyboard-response","138","261364","0.0-2.0-0.68","test","",""
"1347","","","survey-likert","139","263213","0.0-2.0-1.68","","{""Q0"":0}","[0]"
"463","<div style=""font-size:45px;"">A  C  A  B                                                </div>","32","html-keyboard-response","140","263679","0.0-2.0-0.69","test","",""
"2176","","","survey-likert","141","266357","0.0-2.0-1.69","","{""Q0"":5}","[0]"
"1350","<div style=""font-size:45px;"">C  A  A  B  C  A  A  A  C  B  B  B  A  B  C  A            </div>","32","html-keyboard-response","142","267709","0.0-2.0-0.70","test","",""
"1168","","","survey-likert","143","269379","0.0-2.0-1.70","","{""Q0"":7}","[0]"
"451","<div style=""font-size:45px;"">A  A  A  A  B  A                                          </div>","32","html-keyboard-response","144","269832","0.0-2.0-0.71","test","",""
"1902","","","survey-likert","145","272236","0.0-2.0-1.71","","{""Q0"":2}","[0]"
"594","<div style=""font-size:45px;"">C  A  B  A  B  A  B  A                                    </div>","32","html-keyboard-response","146","272832","0.0-2.0-0.72","test","",""
"1096","","","survey-likert","147","274430","0.0-2.0-1.72","","{""Q0"":3}","[0]"
"361","<div style=""font-size:45px;"">B  A  B  C                                                </div>","32","html-keyboard-response","148","274792","0.0-2.0-0.73","test","",""
"2239","","","survey-likert","149","277533","0.0-2.0-1.73","","{""Q0"":4}","[0]"
"1748","<div style=""font-size:45px;"">A  C  C  C  B  C  B  B  A  B  A  B  A  C  A  C  A  C      </div>","32","html-keyboard-response","150","279283","0.0-2.0-0.74","test","",""
"1161","","","survey-likert","151","280947","0.0-2.0-1.74","","{""Q0"":7}","[0]"
"773","<div style=""font-size:45px;"">A  C  C  A  B  A  A  B  B  A  A  A  C  B                  </div>","32","html-keyboard-response","152","281722","0.0-2.0-0.75","test","",""
"1515.0000000000582","","","survey-likert","153","283739","0.0-2.0-1.75","","{""Q0"":7}","[0]"
"701","<div style=""font-size:45px;"">A  B  A  A  B  A  A  B                                    </div>","32","html-keyboard-response","154","284442","0.0-2.0-0.76","test","",""
"1447","","","survey-likert","155","286392","0.0-2.0-1.76","","{""Q0"":3}","[0]"
"665","<div style=""font-size:45px;"">A  A  A  A  A  C  B  C  A  B                              </div>","32","html-keyboard-response","156","287058","0.0-2.0-0.77","test","",""
"1713","","","survey-likert","157","289273","0.0-2.0-1.77","","{""Q0"":3}","[0]"
"663.9999999999418","<div style=""font-size:45px;"">A  C  A  C  A  C  A  C  A  C  A  C  A  C  A  C  A  C      </div>","32","html-keyboard-response","158","289939","0.0-2.0-0.78","test","",""
"2212.999999999942","","","survey-likert","159","292654","0.0-2.0-1.78","","{""Q0"":0}","[0]"
"618","<div style=""font-size:45px;"">C  B  B  B  B  B  B  B  B  B  B  B                        </div>","32","html-keyboard-response","160","293275","0.0-2.0-0.79","test","",""
"1988","","","survey-likert","161","295765","0.0-2.0-1.79","","{""Q0"":0}","[0]"
"461","<div style=""font-size:45px;"">B  B  B  B  B  B                                          </div>","32","html-keyboard-response","162","296228","0.0-2.0-0.80","test","",""
"1884.0000000000582","","","survey-likert","163","298614","0.0-2.0-1.80","","{""Q0"":2}","[0]"
"645","<div style=""font-size:45px;"">B  B  B  B  B  C                                          </div>","32","html-keyboard-response","164","299262","0.0-2.0-0.81","test","",""
"1626","","","survey-likert","165","301390","0.0-2.0-1.81","","{""Q0"":3}","[0]"
"437","<div style=""font-size:45px;"">B  C  C  A  C  A  A  A                                    </div>","32","html-keyboard-response","166","301830","0.0-2.0-0.82","test","",""
"1268","","","survey-likert","167","303601","0.0-2.0-1.82","","{""Q0"":3}","[0]"
"443","<div style=""font-size:45px;"">B  A  B  B  A  B  B  A                                    </div>","32","html-keyboard-response","168","304047","0.0-2.0-0.83","test","",""
"1173","","","survey-likert","169","305722","0.0-2.0-1.83","","{""Q0"":3}","[0]"
"827","<div style=""font-size:45px;"">A  A  B  B  C  C  C  C  A  B  B  B  B  C  C  B  C  C      </div>","32","html-keyboard-response","170","306551","0.0-2.0-0.84","test","",""
"1698","","","survey-likert","171","308751","0.0-2.0-1.84","","{""Q0"":3}","[0]"
"987.0000000000582","<div style=""font-size:45px;"">A  B  C  B  C  A  C  C  C  B  A  A  B  A  C  C            </div>","32","html-keyboard-response","172","309740","0.0-2.0-0.85","test","",""
"2198.000000000058","","","survey-likert","173","312442","0.0-2.0-1.85","","{""Q0"":7}","[0]"
"29289","<div style=""font-size:45px;"">C  B  B  B  A  B  B  B  A  B                              </div>","32","html-keyboard-response","174","341733","0.0-2.0-0.86","test","",""
"3178.000000000058","","","survey-likert","175","345414","0.0-2.0-1.86","","{""Q0"":3}","[0]"
"716","<div style=""font-size:45px;"">C  C  B  C  C  B  C  C  B  C  C  B  C  C  B  C            </div>","32","html-keyboard-response","176","346132","0.0-2.0-0.87","test","",""
"1612","","","survey-likert","177","348246","0.0-2.0-1.87","","{""Q0"":2}","[0]"
"2986","<div style=""font-size:45px;"">C  A  A  B  C  B  C  C  A  B  A  B  A  B  B  C  B  B      </div>","32","html-keyboard-response","178","351234","0.0-2.0-0.88","test","",""
"1406","","","survey-likert","179","353143","0.0-2.0-1.88","","{""Q0"":8}","[0]"
"529","<div style=""font-size:45px;"">B  C  A  A  A  B                                          </div>","32","html-keyboard-response","180","353674","0.0-2.0-0.89","test","",""
"2018","","","survey-likert","181","356196","0.0-2.0-1.89","","{""Q0"":5}","[0]"
"1144","<div style=""font-size:45px;"">C  C  C  C  A  A  B  B  B  B  B  B  B  B  B  B  B  B      </div>","32","html-keyboard-response","182","357341","0.0-2.0-0.90","test","",""
"1332","","","survey-likert","183","359176","0.0-2.0-1.90","","{""Q0"":3}","[0]"
