disengaged,diffs,binMeans,eventpos
0,0.0966906862159994,0.080603901639087,8
0,0.0630361650955965,0.080603901639087,9
0,0.138202244007041,0.141954449577388,10
0,0.0737659899629971,0.080603901639087,11
0,0.0636605458151469,0.080603901639087,12
0,0.00325334401359367,0.0263764263050843,13
0,0.0569576534502718,0.080603901639087,14
0,0.0884743223195891,0.080603901639087,15
0,0.0416326596923305,0.0263764263050843,16
0,0.0490052750230695,0.0263764263050843,17
0,0.0268618188061687,0.0263764263050843,18
0,0.0179149416643417,0.0263764263050843,19
0,0.0216003520758488,0.0263764263050843,20
0,0.0362257926899998,0.0263764263050843,21
0,0.0652402362441651,0.080603901639087,22
1,0.000786805380221023,0.0263764263050843,23
0,0.153686451244882,0.141954449577388,1
0,0.377617725271678,0.365839506433904,2
0,0.309436185262736,0.365839506433904,3
0,0.0702101324983309,0.080603901639087,4
0,0.0875334474308969,0.080603901639087,5
0,0.045499934846061,0.0263764263050843,6
0,0.118576931664598,0.141954449577388,7
0,0.108746369030579,0.141954449577388,8
0,0.149179981824579,0.141954449577388,9
0,0.0845105859576605,0.080603901639087,10
0,0.0809966231969781,0.080603901639087,11
0,0.0558696552266636,0.080603901639087,12
0,0.0501308334684404,0.0263764263050843,13
